"Time","T0129",""
"and","500.00",""
"Date","Dir. Vento (�)",""
"","Mean","Qual"
00:00:00 27/06/2013,          88,      1
00:00:00 28/06/2013,         332,      1
00:00:00 29/06/2013,         344,      1
00:00:00 30/06/2013,         352,      1
00:00:00 01/07/2013,          69,      1
00:00:00 02/07/2013,         335,      1
00:00:00 03/07/2013,         113,      1
00:00:00 04/07/2013,          26,      1
00:00:00 05/07/2013,          62,      1
00:00:00 06/07/2013,          76,      1
00:00:00 07/07/2013,          59,      1
00:00:00 08/07/2013,          43,      1
00:00:00 09/07/2013,         350,      1
00:00:00 10/07/2013,          44,      1
00:00:00 11/07/2013,          79,      1
00:00:00 12/07/2013,         193,      1
00:00:00 13/07/2013,           6,      1
00:00:00 14/07/2013,          82,      1
00:00:00 15/07/2013,          55,      1
00:00:00 16/07/2013,         121,      1
00:00:00 17/07/2013,         112,      1
00:00:00 18/07/2013,          26,      1
00:00:00 19/07/2013,          57,      1
00:00:00 20/07/2013,          49,      1
00:00:00 21/07/2013,          31,      1
00:00:00 22/07/2013,         102,      1
00:00:00 23/07/2013,          37,      1
00:00:00 24/07/2013,         351,      1
00:00:00 25/07/2013,         335,      1
00:00:00 26/07/2013,           4,      1
00:00:00 27/07/2013,         358,      1
00:00:00 28/07/2013,         102,      1
00:00:00 29/07/2013,          76,      1
00:00:00 30/07/2013,         340,      1
00:00:00 31/07/2013,         354,      1
00:00:00 01/08/2013,           2,      1
00:00:00 02/08/2013,          10,      1
00:00:00 03/08/2013,          22,      1
00:00:00 04/08/2013,         345,      1
00:00:00 05/08/2013,         339,      1
00:00:00 06/08/2013,          72,      1
00:00:00 07/08/2013,           2,      1
00:00:00 08/08/2013,         326,      1
00:00:00 09/08/2013,         352,      1
00:00:00 10/08/2013,         319,      1
00:00:00 11/08/2013,         341,      1
00:00:00 12/08/2013,         102,      1
00:00:00 13/08/2013,          26,      1
00:00:00 14/08/2013,         316,      1
00:00:00 15/08/2013,         133,      1
00:00:00 16/08/2013,          69,      1
00:00:00 17/08/2013,          12,      1
00:00:00 18/08/2013,          96,      1
00:00:00 19/08/2013,          57,      1
00:00:00 20/08/2013,         328,      1
00:00:00 21/08/2013,         336,      1
00:00:00 22/08/2013,         351,      1
00:00:00 23/08/2013,          24,      1
00:00:00 24/08/2013,           8,      1
00:00:00 25/08/2013,         320,      1
00:00:00 26/08/2013,          79,      1
00:00:00 27/08/2013,         345,      1
00:00:00 28/08/2013,         331,      1
00:00:00 29/08/2013,         353,      1
00:00:00 30/08/2013,           5,      1
00:00:00 31/08/2013,           1,      1
00:00:00 01/09/2013,          33,      1
00:00:00 02/09/2013,         346,      1
00:00:00 03/09/2013,           7,      1
00:00:00 04/09/2013,           2,      1
00:00:00 05/09/2013,          58,      1
00:00:00 06/09/2013,          92,      1
00:00:00 07/09/2013,          79,      1
00:00:00 08/09/2013,          89,      1
00:00:00 09/09/2013,         330,      1
00:00:00 10/09/2013,          36,      1
00:00:00 11/09/2013,         340,      1
00:00:00 12/09/2013,           5,      1
00:00:00 13/09/2013,         359,      1
00:00:00 14/09/2013,          19,      1
00:00:00 15/09/2013,          32,      1
00:00:00 16/09/2013,         340,      1
00:00:00 17/09/2013,           7,      1
00:00:00 18/09/2013,          23,      1
00:00:00 19/09/2013,         350,      1
00:00:00 20/09/2013,         345,      1
00:00:00 21/09/2013,           0,      1
00:00:00 22/09/2013,         333,      1
00:00:00 23/09/2013,          10,      1
00:00:00 24/09/2013,          19,      1
00:00:00 25/09/2013,          12,      1
00:00:00 26/09/2013,          26,      1
00:00:00 27/09/2013,         341,      1
00:00:00 28/09/2013,         340,      1
00:00:00 29/09/2013,          82,      1
00:00:00 30/09/2013,         326,      1
00:00:00 01/10/2013,         155,      1
00:00:00 02/10/2013,         318,      1
00:00:00 03/10/2013,          78,      1
00:00:00 04/10/2013,          78,      1
00:00:00 05/10/2013,         123,      1
00:00:00 06/10/2013,         355,      1
00:00:00 07/10/2013,          26,      1
00:00:00 08/10/2013,         151,      1
00:00:00 09/10/2013,         143,      1
00:00:00 10/10/2013,          82,      1
00:00:00 11/10/2013,         320,      1
00:00:00 12/10/2013,         325,      1
00:00:00 13/10/2013,         341,      1
00:00:00 14/10/2013,         340,      1
00:00:00 15/10/2013,         342,      1
00:00:00 16/10/2013,         357,      1
00:00:00 17/10/2013,          15,      1
00:00:00 18/10/2013,          19,      1
00:00:00 19/10/2013,           7,      1
00:00:00 20/10/2013,         312,      1
00:00:00 21/10/2013,         325,      1
00:00:00 22/10/2013,         335,      1
00:00:00 23/10/2013,          48,      1
00:00:00 24/10/2013,         341,      1
00:00:00 25/10/2013,         329,      1
00:00:00 26/10/2013,         338,      1
00:00:00 27/10/2013,         342,      1
00:00:00 28/10/2013,          13,      1
00:00:00 29/10/2013,         321,      1
00:00:00 30/10/2013,         322,      1
00:00:00 31/10/2013,         338,      1
00:00:00 01/11/2013,         343,      1
00:00:00 02/11/2013,          75,      1
00:00:00 03/11/2013,          20,      1
00:00:00 04/11/2013,         325,      1
00:00:00 05/11/2013,         349,      1
00:00:00 06/11/2013,         341,      1
00:00:00 07/11/2013,           2,      1
00:00:00 08/11/2013,         318,      1
00:00:00 09/11/2013,         306,      1
00:00:00 10/11/2013,         351,      1
00:00:00 11/11/2013,         352,      1
00:00:00 12/11/2013,         351,      1
00:00:00 13/11/2013,          22,      1
00:00:00 14/11/2013,         355,      1
00:00:00 15/11/2013,         336,      1
00:00:00 16/11/2013,         344,      1
00:00:00 17/11/2013,         332,      1
00:00:00 18/11/2013,         341,      1
00:00:00 19/11/2013,         328,      1
00:00:00 20/11/2013,         330,      1
00:00:00 21/11/2013,          38,      1
00:00:00 22/11/2013,         346,      1
00:00:00 23/11/2013,          40,      1
00:00:00 24/11/2013,           1,      1
00:00:00 25/11/2013,         354,      1
00:00:00 26/11/2013,          28,      1
00:00:00 27/11/2013,         337,      1
00:00:00 28/11/2013,           8,      1
00:00:00 29/11/2013,          38,      1
00:00:00 30/11/2013,         343,      1
00:00:00 01/12/2013,           7,      1
00:00:00 02/12/2013,          17,      1
00:00:00 03/12/2013,          11,      1
00:00:00 04/12/2013,           1,      1
00:00:00 05/12/2013,          16,      1
00:00:00 06/12/2013,          74,      1
00:00:00 07/12/2013,          14,      1
00:00:00 08/12/2013,          36,      1
00:00:00 09/12/2013,         342,      1
00:00:00 10/12/2013,           1,      1
00:00:00 11/12/2013,           8,      1
00:00:00 12/12/2013,           7,      1
00:00:00 13/12/2013,         356,      1
00:00:00 14/12/2013,         356,      1
00:00:00 15/12/2013,         356,      1
00:00:00 16/12/2013,           3,      1
00:00:00 17/12/2013,          10,      1
00:00:00 18/12/2013,           1,      1
00:00:00 19/12/2013,         319,      1
00:00:00 20/12/2013,         323,      1
00:00:00 21/12/2013,         333,      1
00:00:00 22/12/2013,         318,      1
00:00:00 23/12/2013,         338,      1
00:00:00 24/12/2013,         107,      1
00:00:00 25/12/2013,          94,      1
00:00:00 26/12/2013,         324,      1
00:00:00 27/12/2013,         359,      1
00:00:00 28/12/2013,         352,      1
00:00:00 29/12/2013,         348,      1
00:00:00 30/12/2013,           1,      1
00:00:00 31/12/2013,         358,      1
00:00:00 01/01/2014,         360,      1
00:00:00 02/01/2014,         327,      1
00:00:00 03/01/2014,         341,      1
00:00:00 04/01/2014,         327,      1
00:00:00 05/01/2014,         344,      1
00:00:00 06/01/2014,         359,      1
00:00:00 07/01/2014,           3,      1
00:00:00 08/01/2014,         355,      1
00:00:00 09/01/2014,         346,      1
00:00:00 10/01/2014,         326,      1
00:00:00 11/01/2014,         328,      1
00:00:00 12/01/2014,          10,      1
00:00:00 13/01/2014,          10,      1
00:00:00 14/01/2014,         336,      1
00:00:00 15/01/2014,         347,      1
00:00:00 16/01/2014,         324,      1
00:00:00 17/01/2014,         312,      1
00:00:00 18/01/2014,         317,      1
00:00:00 19/01/2014,         320,      1
00:00:00 20/01/2014,         325,      1
00:00:00 21/01/2014,         347,      1
00:00:00 22/01/2014,           2,      1
00:00:00 23/01/2014,         328,      1
00:00:00 24/01/2014,          14,      1
00:00:00 25/01/2014,         326,      1
00:00:00 26/01/2014,          23,      1
00:00:00 27/01/2014,         340,      1
