"Time","T0129",""
"and","500.00",""
"Date","Dir. Vento (�)",""
"","Mean","Qual"
00:00:00 22/09/2016,          93,      1
00:00:00 23/09/2016,          76,      1
00:00:00 24/09/2016,          17,      1
00:00:00 25/09/2016,          17,      1
00:00:00 26/09/2016,          66,      1
00:00:00 27/09/2016,          42,      1
00:00:00 28/09/2016,          27,      1
00:00:00 29/09/2016,          37,      1
00:00:00 30/09/2016,          90,      1
00:00:00 01/10/2016,          42,      1
00:00:00 02/10/2016,         109,      1
00:00:00 03/10/2016,         334,      1
00:00:00 04/10/2016,         349,      1
00:00:00 05/10/2016,          70,      1
00:00:00 06/10/2016,          27,      1
00:00:00 07/10/2016,          41,      1
00:00:00 08/10/2016,           3,      1
00:00:00 09/10/2016,         290,      1
00:00:00 10/10/2016,         341,      1
00:00:00 11/10/2016,         356,      1
00:00:00 12/10/2016,          29,      1
00:00:00 13/10/2016,         339,      1
00:00:00 14/10/2016,         324,      1
00:00:00 15/10/2016,         342,      1
00:00:00 16/10/2016,           5,      1
00:00:00 17/10/2016,         353,      1
00:00:00 18/10/2016,         338,      1
00:00:00 19/10/2016,         274,      1
00:00:00 20/10/2016,         345,      1
00:00:00 21/10/2016,           7,      1
00:00:00 22/10/2016,         343,      1
00:00:00 23/10/2016,         328,      1
00:00:00 24/10/2016,         310,      1
00:00:00 25/10/2016,         304,      1
00:00:00 26/10/2016,         336,      1
00:00:00 27/10/2016,         356,      1
00:00:00 28/10/2016,         330,      1
00:00:00 29/10/2016,         351,      1
00:00:00 30/10/2016,          28,      1
00:00:00 31/10/2016,          24,      1
00:00:00 01/11/2016,           8,      1
00:00:00 02/11/2016,         340,      1
00:00:00 03/11/2016,           9,      1
00:00:00 04/11/2016,          64,      1
00:00:00 05/11/2016,         331,      1
00:00:00 06/11/2016,         312,      1
00:00:00 07/11/2016,           4,      1
00:00:00 08/11/2016,          21,      1
00:00:00 09/11/2016,         358,      1
00:00:00 10/11/2016,          21,      1
00:00:00 11/11/2016,         357,      1
00:00:00 12/11/2016,         318,      1
00:00:00 13/11/2016,         352,      1
00:00:00 14/11/2016,          19,      1
00:00:00 15/11/2016,         343,      1
00:00:00 16/11/2016,          14,      1
00:00:00 17/11/2016,          43,      1
00:00:00 18/11/2016,         314,      1
00:00:00 19/11/2016,          92,      1
00:00:00 20/11/2016,         338,      1
00:00:00 21/11/2016,         321,      1
00:00:00 22/11/2016,         321,      1
00:00:00 23/11/2016,         324,      1
00:00:00 24/11/2016,         356,      1
00:00:00 25/11/2016,         324,      1
00:00:00 26/11/2016,         317,      1
00:00:00 27/11/2016,         327,      1
00:00:00 28/11/2016,         352,      1
00:00:00 29/11/2016,          24,      1
00:00:00 30/11/2016,           3,      1
00:00:00 01/12/2016,         357,      1
00:00:00 02/12/2016,          22,      1
00:00:00 03/12/2016,         334,      1
00:00:00 04/12/2016,         346,      1
00:00:00 05/12/2016,         344,      1
00:00:00 06/12/2016,           6,      1
00:00:00 07/12/2016,           3,      1
00:00:00 08/12/2016,         357,      1
00:00:00 09/12/2016,           5,      1
00:00:00 10/12/2016,           9,      1
00:00:00 11/12/2016,           6,      1
00:00:00 12/12/2016,         357,      1
00:00:00 13/12/2016,          17,      1
00:00:00 14/12/2016,         346,      1
00:00:00 15/12/2016,          10,      1
00:00:00 16/12/2016,           7,      1
00:00:00 17/12/2016,         357,      1
00:00:00 18/12/2016,         355,      1
00:00:00 19/12/2016,         345,      1
00:00:00 20/12/2016,         332,      1
00:00:00 21/12/2016,           6,      1
00:00:00 22/12/2016,         358,      1
00:00:00 23/12/2016,           7,      1
00:00:00 24/12/2016,         352,      1
00:00:00 25/12/2016,          41,      1
00:00:00 26/12/2016,           5,      1
00:00:00 27/12/2016,         352,      1
00:00:00 28/12/2016,          56,      1
00:00:00 29/12/2016,          68,      1
00:00:00 30/12/2016,           2,      1
00:00:00 31/12/2016,         355,      1
00:00:00 01/01/2017,           5,      1
00:00:00 02/01/2017,         352,      1
00:00:00 03/01/2017,         343,      1
00:00:00 04/01/2017,         348,      1
00:00:00 05/01/2017,          31,      1
00:00:00 06/01/2017,         299,      1
00:00:00 07/01/2017,          77,      1
00:00:00 08/01/2017,          66,      1
00:00:00 09/01/2017,          47,      1
00:00:00 10/01/2017,          93,      1
00:00:00 11/01/2017,          72,      1
00:00:00 12/01/2017,         146,      1
00:00:00 13/01/2017,         331,      1
00:00:00 14/01/2017,           6,      1
00:00:00 15/01/2017,         350,      1
00:00:00 16/01/2017,         338,      1
00:00:00 17/01/2017,         342,      1
00:00:00 18/01/2017,         346,      1
00:00:00 19/01/2017,          28,      1
00:00:00 20/01/2017,          17,      1
00:00:00 21/01/2017,           5,      1
00:00:00 22/01/2017,           6,      1
00:00:00 23/01/2017,         356,      1
00:00:00 24/01/2017,         359,      1
00:00:00 25/01/2017,           3,      1
00:00:00 26/01/2017,          34,      1
00:00:00 27/01/2017,          23,      1
00:00:00 28/01/2017,          12,      1
00:00:00 29/01/2017,          39,      1
00:00:00 30/01/2017,          17,      1
00:00:00 31/01/2017,         102,      1
00:00:00 01/02/2017,         317,      1
00:00:00 02/02/2017,         285,      1
00:00:00 03/02/2017,          10,      1
00:00:00 04/02/2017,         111,      1
00:00:00 05/02/2017,           7,      1
00:00:00 06/02/2017,         348,      1
00:00:00 07/02/2017,         348,      1
00:00:00 08/02/2017,           2,      1
00:00:00 09/02/2017,         346,      1
00:00:00 10/02/2017,         359,      1
00:00:00 11/02/2017,         312,      1
00:00:00 12/02/2017,         342,      1
00:00:00 13/02/2017,          11,      1
00:00:00 14/02/2017,           7,      1
00:00:00 15/02/2017,           3,      1
00:00:00 16/02/2017,           9,      1
00:00:00 17/02/2017,           3,      1
00:00:00 18/02/2017,          24,      1
00:00:00 19/02/2017,         342,      1
00:00:00 20/02/2017,         358,      1
00:00:00 21/02/2017,          32,      1
00:00:00 22/02/2017,          67,      1
00:00:00 23/02/2017,         345,      1
00:00:00 24/02/2017,          45,      1
00:00:00 25/02/2017,         334,      1
00:00:00 26/02/2017,         352,      1
00:00:00 27/02/2017,           3,      1
00:00:00 28/02/2017,          90,      1
00:00:00 01/03/2017,           9,      1
00:00:00 02/03/2017,         358,      1
00:00:00 03/03/2017,           4,      1
00:00:00 04/03/2017,         117,      1
00:00:00 05/03/2017,          79,      1
00:00:00 06/03/2017,           3,      1
00:00:00 07/03/2017,         343,      1
00:00:00 08/03/2017,         327,      1
00:00:00 09/03/2017,         347,      1
00:00:00 10/03/2017,           8,      1
00:00:00 11/03/2017,         308,      1
00:00:00 12/03/2017,          10,      1
00:00:00 13/03/2017,           5,      1
00:00:00 14/03/2017,          27,      1
00:00:00 15/03/2017,           4,      1
00:00:00 16/03/2017,           0,      1
00:00:00 17/03/2017,           7,      1
00:00:00 18/03/2017,          75,      1
00:00:00 19/03/2017,          34,      1
00:00:00 20/03/2017,          13,      1
00:00:00 21/03/2017,         312,      1
00:00:00 22/03/2017,         101,      1
00:00:00 23/03/2017,         153,      1
00:00:00 24/03/2017,         350,      1
00:00:00 25/03/2017,           9,      1
00:00:00 26/03/2017,         105,    140
00:00:00 27/03/2017,          46,    140
00:00:00 28/03/2017,         359,      1
00:00:00 29/03/2017,           2,      1
00:00:00 30/03/2017,           1,      1
00:00:00 31/03/2017,          28,      1
00:00:00 01/04/2017,         106,      1
00:00:00 02/04/2017,          22,      1
00:00:00 03/04/2017,         355,      1
00:00:00 04/04/2017,          26,      1
00:00:00 05/04/2017,          21,      1
00:00:00 06/04/2017,           3,      1
00:00:00 07/04/2017,          93,      1
00:00:00 08/04/2017,         349,      1
00:00:00 09/04/2017,           6,      1
00:00:00 10/04/2017,          18,      1
00:00:00 11/04/2017,          13,      1
00:00:00 12/04/2017,          30,      1
00:00:00 13/04/2017,          13,      1
00:00:00 14/04/2017,         267,      1
00:00:00 15/04/2017,          87,      1
00:00:00 16/04/2017,          13,      1
00:00:00 17/04/2017,          98,      1
00:00:00 18/04/2017,          45,      1
00:00:00 19/04/2017,           3,      1
00:00:00 20/04/2017,         319,      1
00:00:00 21/04/2017,         342,      1
00:00:00 22/04/2017,          26,      1
00:00:00 23/04/2017,          97,      1
00:00:00 24/04/2017,         322,      1
00:00:00 25/04/2017,          96,      1
00:00:00 26/04/2017,         339,      1
00:00:00 27/04/2017,         308,      1
00:00:00 28/04/2017,         294,      1
00:00:00 29/04/2017,         342,      1
00:00:00 30/04/2017,         355,      1
00:00:00 01/05/2017,         338,      1
00:00:00 02/05/2017,         359,      1
00:00:00 03/05/2017,         306,      1
00:00:00 04/05/2017,          90,      1
00:00:00 05/05/2017,         333,      1
00:00:00 06/05/2017,         349,      1
00:00:00 07/05/2017,         157,      1
00:00:00 08/05/2017,           6,      1
00:00:00 09/05/2017,         326,      1
00:00:00 10/05/2017,         326,      1
00:00:00 11/05/2017,          99,      1
00:00:00 12/05/2017,         300,      1
00:00:00 13/05/2017,         317,      1
00:00:00 14/05/2017,         348,      1
00:00:00 15/05/2017,         357,      1
00:00:00 16/05/2017,           4,      1
00:00:00 17/05/2017,         118,      1
00:00:00 18/05/2017,         159,      1
00:00:00 19/05/2017,          28,      1
00:00:00 20/05/2017,          46,      1
00:00:00 21/05/2017,         329,      1
00:00:00 22/05/2017,          14,      1
00:00:00 23/05/2017,         341,      1
00:00:00 24/05/2017,         328,      1
00:00:00 25/05/2017,         337,      1
00:00:00 26/05/2017,         350,      1
00:00:00 27/05/2017,         163,      1
00:00:00 28/05/2017,         105,      1
00:00:00 29/05/2017,         112,      1
00:00:00 30/05/2017,          14,      1
00:00:00 31/05/2017,         109,      1
00:00:00 01/06/2017,         105,      1
00:00:00 02/06/2017,          15,      1
00:00:00 03/06/2017,          87,      1
00:00:00 04/06/2017,          17,      1
00:00:00 05/06/2017,         321,      1
00:00:00 06/06/2017,          33,      1
00:00:00 07/06/2017,         331,      1
00:00:00 08/06/2017,         346,      1
00:00:00 09/06/2017,          12,      1
00:00:00 10/06/2017,          14,      1
00:00:00 11/06/2017,          24,      1
00:00:00 12/06/2017,         112,      1
00:00:00 13/06/2017,          38,      1
00:00:00 14/06/2017,          89,      1
00:00:00 15/06/2017,         305,      1
00:00:00 16/06/2017,         319,      1
00:00:00 17/06/2017,         335,      1
00:00:00 18/06/2017,         145,      1
00:00:00 19/06/2017,         146,      1
00:00:00 20/06/2017,         148,      1
00:00:00 21/06/2017,           2,      1
00:00:00 22/06/2017,          48,      1
00:00:00 23/06/2017,         346,      1
00:00:00 24/06/2017,          13,      1
00:00:00 25/06/2017,         318,      1
00:00:00 26/06/2017,          38,      1
00:00:00 27/06/2017,          45,      1
00:00:00 28/06/2017,          62,      1
00:00:00 29/06/2017,         262,      1
00:00:00 30/06/2017,         340,      1
00:00:00 01/07/2017,         343,      1
00:00:00 02/07/2017,           3,      1
00:00:00 03/07/2017,          32,      1
00:00:00 04/07/2017,         140,      1
00:00:00 05/07/2017,          53,      1
00:00:00 06/07/2017,         326,      1
00:00:00 07/07/2017,          47,      1
00:00:00 08/07/2017,         348,      1
00:00:00 09/07/2017,         321,      1
00:00:00 10/07/2017,         346,      1
00:00:00 11/07/2017,           3,      1
00:00:00 12/07/2017,          77,      1
00:00:00 13/07/2017,          46,      1
00:00:00 14/07/2017,         322,      1
00:00:00 15/07/2017,         331,      1
00:00:00 16/07/2017,          14,      1
00:00:00 17/07/2017,           7,      1
00:00:00 18/07/2017,         356,      1
00:00:00 19/07/2017,           4,      1
00:00:00 20/07/2017,          23,      1
00:00:00 21/07/2017,         327,      1
00:00:00 22/07/2017,         313,      1
00:00:00 23/07/2017,          89,      1
00:00:00 24/07/2017,         344,      1
00:00:00 25/07/2017,          17,      1
00:00:00 26/07/2017,          23,      1
00:00:00 27/07/2017,         348,      1
00:00:00 28/07/2017,         360,      1
00:00:00 29/07/2017,           2,      1
00:00:00 30/07/2017,         324,      1
00:00:00 31/07/2017,         345,      1
00:00:00 01/08/2017,          22,      1
00:00:00 02/08/2017,          10,      1
00:00:00 03/08/2017,         359,      1
00:00:00 04/08/2017,         350,      1
00:00:00 05/08/2017,         352,      1
00:00:00 06/08/2017,         325,      1
00:00:00 07/08/2017,         342,      1
00:00:00 08/08/2017,         119,      1
00:00:00 09/08/2017,         330,      1
00:00:00 10/08/2017,         335,      1
00:00:00 11/08/2017,         325,      1
00:00:00 12/08/2017,         338,      1
00:00:00 13/08/2017,         351,      1
00:00:00 14/08/2017,          17,      1
00:00:00 15/08/2017,           3,      1
00:00:00 16/08/2017,           0,      1
00:00:00 17/08/2017,           0,      1
00:00:00 18/08/2017,           2,      1
00:00:00 19/08/2017,         318,      1
00:00:00 20/08/2017,         331,      1
00:00:00 21/08/2017,         340,      1
00:00:00 22/08/2017,         338,      1
00:00:00 23/08/2017,           3,      1
00:00:00 24/08/2017,         348,      1
00:00:00 25/08/2017,          10,      1
00:00:00 26/08/2017,         339,      1
00:00:00 27/08/2017,         328,      1
00:00:00 28/08/2017,         328,      1
00:00:00 29/08/2017,         358,      1
00:00:00 30/08/2017,         354,      1
00:00:00 31/08/2017,          67,      1
00:00:00 01/09/2017,         302,      1
00:00:00 02/09/2017,         344,      1
00:00:00 03/09/2017,           2,      1
00:00:00 04/09/2017,         343,      1
00:00:00 05/09/2017,         349,      1
00:00:00 06/09/2017,         357,      1
00:00:00 07/09/2017,         294,      1
00:00:00 08/09/2017,         288,      1
00:00:00 09/09/2017,         109,      1
00:00:00 10/09/2017,         342,      1
00:00:00 11/09/2017,         328,      1
00:00:00 12/09/2017,         337,      1
00:00:00 13/09/2017,           5,      1
00:00:00 14/09/2017,          15,      1
00:00:00 15/09/2017,          40,      1
00:00:00 16/09/2017,          12,      1
00:00:00 17/09/2017,         349,      1
00:00:00 18/09/2017,          72,      1
00:00:00 19/09/2017,         331,      1
00:00:00 20/09/2017,         332,      1
00:00:00 21/09/2017,         354,      1
00:00:00 22/09/2017,          15,      1
00:00:00 23/09/2017,         354,      1
00:00:00 24/09/2017,         347,      1
00:00:00 25/09/2017,          70,      1
00:00:00 26/09/2017,          26,      1
00:00:00 27/09/2017,          25,      1
00:00:00 28/09/2017,           0,      1
00:00:00 29/09/2017,         336,      1
00:00:00 30/09/2017,         127,      1
00:00:00 01/10/2017,          83,      1
00:00:00 02/10/2017,          95,      1
00:00:00 03/10/2017,          53,      1
00:00:00 04/10/2017,         353,      1
00:00:00 05/10/2017,           6,      1
00:00:00 06/10/2017,           5,      1
00:00:00 07/10/2017,          19,      1
00:00:00 08/10/2017,         354,      1
00:00:00 09/10/2017,          11,      1
00:00:00 10/10/2017,           6,      1
00:00:00 11/10/2017,         336,      1
00:00:00 12/10/2017,          10,      1
00:00:00 13/10/2017,          21,      1
00:00:00 14/10/2017,          36,      1
00:00:00 15/10/2017,          13,      1
00:00:00 16/10/2017,          23,      1
00:00:00 17/10/2017,          28,      1
00:00:00 18/10/2017,          29,      1
00:00:00 19/10/2017,           2,      1
00:00:00 20/10/2017,          38,      1
00:00:00 21/10/2017,         358,      1
00:00:00 22/10/2017,         347,      1
00:00:00 23/10/2017,         338,      1
00:00:00 24/10/2017,         344,      1
00:00:00 25/10/2017,           1,      1
00:00:00 26/10/2017,          24,      1
00:00:00 27/10/2017,         350,      1
00:00:00 28/10/2017,          26,      1
00:00:00 29/10/2017,         353,      1
00:00:00 30/10/2017,         341,      1
00:00:00 31/10/2017,          21,      1
00:00:00 01/11/2017,          13,      1
00:00:00 02/11/2017,         345,      1
00:00:00 03/11/2017,           8,      1
00:00:00 04/11/2017,         338,      1
00:00:00 05/11/2017,         326,      1
00:00:00 06/11/2017,         344,      1
00:00:00 07/11/2017,          14,      1
00:00:00 08/11/2017,          22,      1
00:00:00 09/11/2017,         341,      1
00:00:00 10/11/2017,         356,      1
00:00:00 11/11/2017,          40,      1
00:00:00 12/11/2017,         344,      1
00:00:00 13/11/2017,          79,      1
00:00:00 14/11/2017,          17,      1
00:00:00 15/11/2017,           9,      1
00:00:00 16/11/2017,         347,      1
00:00:00 17/11/2017,          22,      1
00:00:00 18/11/2017,          19,      1
00:00:00 19/11/2017,         353,      1
00:00:00 20/11/2017,          23,      1
00:00:00 21/11/2017,          11,      1
00:00:00 22/11/2017,           8,      1
00:00:00 23/11/2017,          12,      1
00:00:00 24/11/2017,           1,      1
00:00:00 25/11/2017,         326,      1
00:00:00 26/11/2017,         335,      1
00:00:00 27/11/2017,           6,      1
00:00:00 28/11/2017,         327,      1
00:00:00 29/11/2017,         324,      1
00:00:00 30/11/2017,          13,      1
00:00:00 01/12/2017,           1,      1
00:00:00 02/12/2017,           4,      1
00:00:00 03/12/2017,          20,      1
00:00:00 04/12/2017,          36,      1
00:00:00 05/12/2017,           9,      1
00:00:00 06/12/2017,           9,      1
00:00:00 07/12/2017,          14,      1
00:00:00 08/12/2017,         356,      1
00:00:00 09/12/2017,         341,      1
00:00:00 10/12/2017,         333,      1
00:00:00 11/12/2017,         335,    140
00:00:00 12/12/2017,          42,    140
00:00:00 13/12/2017,          19,      1
00:00:00 14/12/2017,         360,      1
00:00:00 15/12/2017,           2,      1
00:00:00 16/12/2017,          22,      1
00:00:00 17/12/2017,           2,      1
00:00:00 18/12/2017,         357,      1
00:00:00 19/12/2017,           1,      1
00:00:00 20/12/2017,         345,      1
00:00:00 21/12/2017,           2,      1
00:00:00 22/12/2017,          12,      1
00:00:00 23/12/2017,         346,      1
00:00:00 24/12/2017,           2,      1
00:00:00 25/12/2017,         357,      1
00:00:00 26/12/2017,         336,      1
00:00:00 27/12/2017,         311,      1
00:00:00 28/12/2017,         353,      1
00:00:00 29/12/2017,         325,      1
00:00:00 30/12/2017,           6,      1
00:00:00 31/12/2017,           6,      1
00:00:00 01/01/2018,         342,      1
00:00:00 02/01/2018,         349,      1
00:00:00 03/01/2018,           6,      1
00:00:00 04/01/2018,         345,      1
00:00:00 05/01/2018,         359,      1
00:00:00 06/01/2018,         323,      1
00:00:00 07/01/2018,         351,      1
00:00:00 08/01/2018,         329,      1
00:00:00 09/01/2018,         341,      1
00:00:00 10/01/2018,         320,      1
00:00:00 11/01/2018,          20,      1
00:00:00 12/01/2018,          27,      1
00:00:00 13/01/2018,         360,      1
00:00:00 14/01/2018,         345,      1
00:00:00 15/01/2018,          11,      1
00:00:00 16/01/2018,         327,      1
00:00:00 17/01/2018,          11,      1
00:00:00 18/01/2018,          25,      1
00:00:00 19/01/2018,          11,      1
00:00:00 20/01/2018,          24,      1
00:00:00 21/01/2018,         338,      1
00:00:00 22/01/2018,          21,      1
00:00:00 23/01/2018,          42,      1
00:00:00 24/01/2018,           6,      1
00:00:00 25/01/2018,         359,      1
00:00:00 26/01/2018,         325,      1
00:00:00 27/01/2018,         357,      1
00:00:00 28/01/2018,           5,      1
00:00:00 29/01/2018,           4,      1
00:00:00 30/01/2018,          68,      1
00:00:00 31/01/2018,          51,      1
00:00:00 01/02/2018,          77,      1
00:00:00 02/02/2018,         324,      1
00:00:00 03/02/2018,         314,      1
00:00:00 04/02/2018,         345,      1
00:00:00 05/02/2018,         322,      1
00:00:00 06/02/2018,         329,      1
00:00:00 07/02/2018,          67,      1
00:00:00 08/02/2018,           5,      1
00:00:00 09/02/2018,         359,      1
00:00:00 10/02/2018,         318,      1
00:00:00 11/02/2018,           2,      1
00:00:00 12/02/2018,         328,      1
00:00:00 13/02/2018,         344,      1
00:00:00 14/02/2018,         355,      1
00:00:00 15/02/2018,         346,      1
00:00:00 16/02/2018,          42,      1
00:00:00 17/02/2018,         341,      1
00:00:00 18/02/2018,           2,      1
00:00:00 19/02/2018,         336,      1
00:00:00 20/02/2018,          33,      1
00:00:00 21/02/2018,         319,      1
00:00:00 22/02/2018,          41,      1
00:00:00 23/02/2018,          22,      1
00:00:00 24/02/2018,          22,      1
00:00:00 25/02/2018,         347,      1
00:00:00 26/02/2018,          47,      1
00:00:00 27/02/2018,         355,      1
00:00:00 28/02/2018,         233,      1
00:00:00 01/03/2018,         308,      1
00:00:00 02/03/2018,         329,      1
00:00:00 03/03/2018,         268,      1
00:00:00 04/03/2018,          47,      1
00:00:00 05/03/2018,         310,      1
00:00:00 06/03/2018,         171,      1
00:00:00 07/03/2018,          25,      1
00:00:00 08/03/2018,         345,      1
00:00:00 09/03/2018,         355,      1
00:00:00 10/03/2018,         342,      1
00:00:00 11/03/2018,         318,      1
00:00:00 12/03/2018,         341,      1
00:00:00 13/03/2018,         338,      1
00:00:00 14/03/2018,         353,      1
00:00:00 15/03/2018,          54,      1
00:00:00 16/03/2018,         315,      1
00:00:00 17/03/2018,          41,      1
00:00:00 18/03/2018,          13,      1
00:00:00 19/03/2018,         111,      1
00:00:00 20/03/2018,           5,      1
00:00:00 21/03/2018,         339,      1
00:00:00 22/03/2018,         348,      1
00:00:00 23/03/2018,         327,      1
00:00:00 24/03/2018,          62,      1
00:00:00 25/03/2018,         310,      1
00:00:00 26/03/2018,         359,      1
00:00:00 27/03/2018,         109,      1
00:00:00 28/03/2018,         105,      1
00:00:00 29/03/2018,          75,      1
00:00:00 30/03/2018,          72,      1
00:00:00 31/03/2018,          88,      1
00:00:00 01/04/2018,           8,      1
00:00:00 02/04/2018,          17,      1
00:00:00 03/04/2018,         359,      1
00:00:00 04/04/2018,         185,      1
00:00:00 05/04/2018,         322,      1
00:00:00 06/04/2018,         351,      1
00:00:00 07/04/2018,          14,      1
00:00:00 08/04/2018,          23,      1
00:00:00 09/04/2018,          21,      1
00:00:00 10/04/2018,          94,      1
00:00:00 11/04/2018,         331,      1
00:00:00 12/04/2018,         319,      1
00:00:00 13/04/2018,         294,      1
00:00:00 14/04/2018,         344,      1
00:00:00 15/04/2018,          16,      1
00:00:00 16/04/2018,         326,      1
00:00:00 17/04/2018,         346,      1
00:00:00 18/04/2018,         348,      1
00:00:00 19/04/2018,         356,      1
00:00:00 20/04/2018,         349,      1
00:00:00 21/04/2018,         355,      1
00:00:00 22/04/2018,         351,      1
00:00:00 23/04/2018,         359,      1
00:00:00 24/04/2018,           3,      1
00:00:00 25/04/2018,          20,      1
00:00:00 26/04/2018,         345,      1
00:00:00 27/04/2018,         341,      1
00:00:00 28/04/2018,           8,      1
00:00:00 29/04/2018,         353,      1
00:00:00 30/04/2018,         148,      1
00:00:00 01/05/2018,         114,      1
00:00:00 02/05/2018,         340,      1
00:00:00 03/05/2018,         356,      1
00:00:00 04/05/2018,           8,      1
00:00:00 05/05/2018,         358,      1
00:00:00 06/05/2018,         353,      1
00:00:00 07/05/2018,          11,      1
00:00:00 08/05/2018,          58,      1
00:00:00 09/05/2018,          41,      1
00:00:00 10/05/2018,         330,      1
00:00:00 11/05/2018,          46,      1
00:00:00 12/05/2018,          85,      1
00:00:00 13/05/2018,          20,      1
00:00:00 14/05/2018,          60,      1
00:00:00 15/05/2018,         124,      1
00:00:00 16/05/2018,          17,      1
00:00:00 17/05/2018,          40,      1
00:00:00 18/05/2018,          62,      1
00:00:00 19/05/2018,          29,      1
00:00:00 20/05/2018,          21,      1
00:00:00 21/05/2018,          15,      1
00:00:00 22/05/2018,          60,      1
00:00:00 23/05/2018,          26,      1
00:00:00 24/05/2018,         350,      1
00:00:00 25/05/2018,           4,      1
00:00:00 26/05/2018,         356,      1
00:00:00 27/05/2018,           7,      1
00:00:00 28/05/2018,          49,      1
00:00:00 29/05/2018,         350,      1
00:00:00 30/05/2018,         102,      1
00:00:00 31/05/2018,         114,      1
00:00:00 01/06/2018,          28,      1
00:00:00 02/06/2018,          16,      1
00:00:00 03/06/2018,          15,      1
00:00:00 04/06/2018,          38,      1
00:00:00 05/06/2018,          63,      1
00:00:00 06/06/2018,          41,      1
00:00:00 07/06/2018,          55,      1
00:00:00 08/06/2018,         340,      1
00:00:00 09/06/2018,           2,      1
00:00:00 10/06/2018,          14,      1
00:00:00 11/06/2018,         134,      1
00:00:00 12/06/2018,          21,      1
00:00:00 13/06/2018,         325,      1
00:00:00 14/06/2018,         302,      1
00:00:00 15/06/2018,          60,      1
00:00:00 16/06/2018,         110,      1
00:00:00 17/06/2018,          18,      1
00:00:00 18/06/2018,          12,      1
00:00:00 19/06/2018,          80,      1
00:00:00 20/06/2018,         111,      1
00:00:00 21/06/2018,          65,      1
00:00:00 22/06/2018,          65,      1
00:00:00 23/06/2018,         121,      1
00:00:00 24/06/2018,         126,      1
00:00:00 25/06/2018,         156,      1
00:00:00 26/06/2018,          42,      1
00:00:00 27/06/2018,         342,      1
00:00:00 28/06/2018,         344,      1
00:00:00 29/06/2018,         352,      1
00:00:00 30/06/2018,          79,      1
00:00:00 01/07/2018,         176,      1
00:00:00 02/07/2018,         259,      1
00:00:00 03/07/2018,          90,      1
00:00:00 04/07/2018,           8,      1
00:00:00 05/07/2018,         342,    140
00:00:00 06/07/2018,         313,    140
00:00:00 07/07/2018,         313,    140
00:00:00 08/07/2018,         323,    140
00:00:00 09/07/2018,           3,      1
00:00:00 10/07/2018,          53,      1
00:00:00 11/07/2018,         290,      1
00:00:00 12/07/2018,         325,      1
00:00:00 13/07/2018,           4,      1
00:00:00 14/07/2018,         355,      1
00:00:00 15/07/2018,         341,      1
00:00:00 16/07/2018,         352,      1
00:00:00 17/07/2018,         351,      1
00:00:00 18/07/2018,         347,      1
00:00:00 19/07/2018,          44,      1
00:00:00 20/07/2018,          12,      1
00:00:00 21/07/2018,         354,      1
00:00:00 22/07/2018,         350,      1
00:00:00 23/07/2018,           1,      1
00:00:00 24/07/2018,          51,      1
00:00:00 25/07/2018,          38,      1
00:00:00 26/07/2018,          98,      1
00:00:00 27/07/2018,          94,      1
00:00:00 28/07/2018,          13,      1
00:00:00 29/07/2018,          84,      1
00:00:00 30/07/2018,          49,      1
00:00:00 31/07/2018,          39,      1
00:00:00 01/08/2018,          80,      1
00:00:00 02/08/2018,         333,      1
00:00:00 03/08/2018,           6,      1
00:00:00 04/08/2018,          61,      1
00:00:00 05/08/2018,         359,      1
00:00:00 06/08/2018,         326,      1
00:00:00 07/08/2018,         351,      1
00:00:00 08/08/2018,          77,      1
00:00:00 09/08/2018,         115,      1
00:00:00 10/08/2018,         133,      1
00:00:00 11/08/2018,          64,      1
00:00:00 12/08/2018,          21,      1
00:00:00 13/08/2018,          84,      1
00:00:00 14/08/2018,          62,      1
00:00:00 15/08/2018,          63,      1
00:00:00 16/08/2018,          98,      1
00:00:00 17/08/2018,          77,      1
00:00:00 18/08/2018,         319,      1
00:00:00 19/08/2018,           0,      1
00:00:00 20/08/2018,         331,      1
00:00:00 21/08/2018,         349,      1
00:00:00 22/08/2018,         345,      1
00:00:00 23/08/2018,         331,      1
00:00:00 24/08/2018,         337,      1
00:00:00 25/08/2018,         314,      1
00:00:00 26/08/2018,         320,      1
00:00:00 27/08/2018,         352,      1
00:00:00 28/08/2018,          12,      1
00:00:00 29/08/2018,          31,      1
00:00:00 30/08/2018,           7,      1
00:00:00 31/08/2018,         328,      1
00:00:00 01/09/2018,         340,      1
00:00:00 02/09/2018,         347,      1
00:00:00 03/09/2018,          10,      1
00:00:00 04/09/2018,          11,      1
00:00:00 05/09/2018,          16,      1
00:00:00 06/09/2018,          33,      1
00:00:00 07/09/2018,          26,      1
00:00:00 08/09/2018,           9,      1
00:00:00 09/09/2018,          34,      1
00:00:00 10/09/2018,         359,      1
00:00:00 11/09/2018,         351,      1
00:00:00 12/09/2018,          10,      1
00:00:00 13/09/2018,          14,      1
00:00:00 14/09/2018,          59,      1
00:00:00 15/09/2018,         335,      1
00:00:00 16/09/2018,          40,      1
00:00:00 17/09/2018,          68,      1
00:00:00 18/09/2018,          57,      1
00:00:00 19/09/2018,           2,      1
00:00:00 20/09/2018,           9,      1
00:00:00 21/09/2018,          21,      1
00:00:00 22/09/2018,          20,      1
00:00:00 23/09/2018,          40,      1
00:00:00 24/09/2018,         328,      1
00:00:00 25/09/2018,          14,      1
